,filename,mood,positive_rate,negative_rate,verb,noun,adjective
254,NJU Documents\抖音数据分析ppt\歌词\处处吻 (正式版).txt,positive,0.9743,0.0257,104,49,16
255,NJU Documents\抖音数据分析ppt\歌词\处处吻.txt,positive,0.9798,0.0202,91,44,14
256,NJU Documents\抖音数据分析ppt\歌词\夏天的风.txt,positive,0.8787,0.1213,65,58,10
257,NJU Documents\抖音数据分析ppt\歌词\夏日炎炎有你超甜 (完整原版片段).txt,positive,0.6228,0.3772,15,6,6
258,NJU Documents\抖音数据分析ppt\歌词\夏日炎炎有你超甜.txt,positive,0.6228,0.3772,15,6,6
259,NJU Documents\抖音数据分析ppt\歌词\夜嗨旋律 (Remix).txt,positive,0.9932,0.0067,4,2,1
260,NJU Documents\抖音数据分析ppt\歌词\大団円.txt,positive,0.9852,0.0148,41,62,6
261,NJU Documents\抖音数据分析ppt\歌词\大城小爱.txt,positive,0.8999,0.1001,75,22,24
262,NJU Documents\抖音数据分析ppt\歌词\大天蓬.txt,negative,0.0403,0.9597,52,25,9
263,NJU Documents\抖音数据分析ppt\歌词\大王叫我来巡山.txt,positive,0.9829,0.0171,66,61,7
264,NJU Documents\抖音数据分析ppt\歌词\大眼睛.txt,negative,0.0723,0.9277,48,13,18
265,NJU Documents\抖音数据分析ppt\歌词\大笨钟 (片段).txt,negative,0.2878,0.7122,12,7,3
266,NJU Documents\抖音数据分析ppt\歌词\大笨钟.txt,negative,0.0126,0.9874,83,34,15
267,NJU Documents\抖音数据分析ppt\歌词\天之大.txt,positive,0.9847,0.0153,33,27,12
268,NJU Documents\抖音数据分析ppt\歌词\天也不懂情.txt,positive,0.9631,0.0369,64,43,14
269,NJU Documents\抖音数据分析ppt\歌词\太迟.txt,positive,0.8909,0.1091,66,44,8
270,NJU Documents\抖音数据分析ppt\歌词\太阳.txt,positive,0.5163,0.4837,66,31,11
271,NJU Documents\抖音数据分析ppt\歌词\失而复得.txt,negative,0.2098,0.7902,82,34,12
272,NJU Documents\抖音数据分析ppt\歌词\奥利给.txt,positive,0.9932,0.0067,4,2,1
273,NJU Documents\抖音数据分析ppt\歌词\女孩子都是神明掉人间的可爱鬼 (Remix).txt,positive,0.9932,0.0067,4,2,1
274,NJU Documents\抖音数据分析ppt\歌词\她说 (Live).txt,positive,0.8938,0.1062,79,22,21
275,NJU Documents\抖音数据分析ppt\歌词\好久不见.txt,positive,0.8222,0.1778,52,22,1
276,NJU Documents\抖音数据分析ppt\歌词\好人好梦.txt,positive,0.9964,0.0036,40,29,15
277,NJU Documents\抖音数据分析ppt\歌词\好喜欢你.txt,positive,0.9982,0.0018,70,34,28
278,NJU Documents\抖音数据分析ppt\歌词\如果我变成回忆.txt,positive,0.8853,0.1147,79,28,12
279,NJU Documents\抖音数据分析ppt\歌词\如果这就是爱情.txt,negative,0.0127,0.9873,82,15,17
280,NJU Documents\抖音数据分析ppt\歌词\如风过境.txt,positive,0.5197,0.4803,73,17,8
281,NJU Documents\抖音数据分析ppt\歌词\妹妹你等着我.txt,positive,0.9852,0.0148,41,62,6
282,NJU Documents\抖音数据分析ppt\歌词\孤单坠爱 (DJ版).txt,positive,0.9603,0.0396,3,2,0
283,NJU Documents\抖音数据分析ppt\歌词\孤芳自赏 (改编版).txt,positive,0.9128,0.0872,71,41,9
284,NJU Documents\抖音数据分析ppt\歌词\孤芳自赏 (电摇版).txt,positive,0.9283,0.0717,77,42,9
285,NJU Documents\抖音数据分析ppt\歌词\孤芳自赏.txt,positive,0.902,0.098,73,38,11
286,NJU Documents\抖音数据分析ppt\歌词\宠护.txt,positive,0.9663,0.0337,116,36,16
287,NJU Documents\抖音数据分析ppt\歌词\容我自救.txt,positive,0.9932,0.0067,4,2,1
288,NJU Documents\抖音数据分析ppt\歌词\对手 (Live片段).txt,positive,0.599,0.401,48,28,6
289,NJU Documents\抖音数据分析ppt\歌词\对面的小姐姐 (完整DJ原版).txt,negative,0.4046,0.5954,33,18,12
290,NJU Documents\抖音数据分析ppt\歌词\对面的小姐姐.txt,positive,0.86,0.14,51,26,14
291,NJU Documents\抖音数据分析ppt\歌词\小半 (Live).txt,negative,0.0275,0.9725,90,25,35
292,NJU Documents\抖音数据分析ppt\歌词\小宇 (片段).txt,positive,0.8984,0.1016,19,7,1
293,NJU Documents\抖音数据分析ppt\歌词\小幸运.txt,positive,0.9927,0.0073,76,31,12
294,NJU Documents\抖音数据分析ppt\歌词\小星星 (片段).txt,positive,0.9999,9.9920,30,12,6
295,NJU Documents\抖音数据分析ppt\歌词\小星星.txt,positive,0.5432,0.4568,25,24,9
296,NJU Documents\抖音数据分析ppt\歌词\小行囊.txt,positive,0.913,0.087,19,25,4
297,NJU Documents\抖音数据分析ppt\歌词\小鹿乱撞.txt,positive,0.9635,0.0365,69,15,17
298,NJU Documents\抖音数据分析ppt\歌词\少女的祈祷.txt,positive,0.778,0.222,66,27,7
299,NJU Documents\抖音数据分析ppt\歌词\少年.txt,positive,0.9854,0.0146,78,41,10
300,NJU Documents\抖音数据分析ppt\歌词\就这.txt,positive,0.9932,0.0067,4,2,1
301,NJU Documents\抖音数据分析ppt\歌词\布谷鸟.txt,positive,0.9572,0.0428,55,38,23
302,NJU Documents\抖音数据分析ppt\歌词\干啥呢 (DJ版).txt,negative,0.0023,0.9977,84,34,17
303,NJU Documents\抖音数据分析ppt\歌词\年轮.txt,positive,0.5552,0.4448,51,31,4
304,NJU Documents\抖音数据分析ppt\歌词\广寒宫.txt,positive,0.8784,0.1216,46,32,14
305,NJU Documents\抖音数据分析ppt\歌词\当你.txt,positive,0.5635,0.4365,114,13,13
306,NJU Documents\抖音数据分析ppt\歌词\往事如烟 (DJ版) (改编版).txt,positive,1.0,0.0,73,52,12
307,NJU Documents\抖音数据分析ppt\歌词\微微.txt,positive,0.9932,0.0067,4,2,1
308,NJU Documents\抖音数据分析ppt\歌词\微笑吧 (DJ改版).txt,positive,0.9779,0.0221,145,79,20
309,NJU Documents\抖音数据分析ppt\歌词\微笑吧 (DJ版).txt,positive,0.9764,0.0236,72,40,12
310,NJU Documents\抖音数据分析ppt\歌词\微笑吧 (DJ版片段).txt,positive,0.9775,0.0225,73,40,12
311,NJU Documents\抖音数据分析ppt\歌词\微笑吧 (女生版).txt,positive,0.9768,0.0232,74,47,13
312,NJU Documents\抖音数据分析ppt\歌词\微笑吧.txt,positive,0.9836,0.0164,75,47,14
313,NJU Documents\抖音数据分析ppt\歌词\心上人呀.txt,positive,0.9371,0.0629,49,33,6
314,NJU Documents\抖音数据分析ppt\歌词\心墙 (片段).txt,positive,0.9821,0.0179,13,7,3
315,NJU Documents\抖音数据分析ppt\歌词\快手刘叉叉背景曲子.txt,positive,0.9932,0.0067,4,2,1
316,NJU Documents\抖音数据分析ppt\歌词\快速换装.txt,negative,0.5,0.5,0,0,0
317,NJU Documents\抖音数据分析ppt\歌词\忽然之间 口琴.txt,positive,0.9932,0.0067,4,2,1
318,NJU Documents\抖音数据分析ppt\歌词\怎么说我不爱你.txt,negative,0.0221,0.9779,84,16,13
319,NJU Documents\抖音数据分析ppt\歌词\恋人心.txt,negative,0.0182,0.9818,45,27,4
320,NJU Documents\抖音数据分析ppt\歌词\恨在今天再相遇.txt,negative,0.0905,0.9095,68,16,12
321,NJU Documents\抖音数据分析ppt\歌词\情人.txt,positive,0.7534,0.2466,49,28,16
322,NJU Documents\抖音数据分析ppt\歌词\情人知己 (片段).txt,negative,0.2691,0.7309,83,29,8
323,NJU Documents\抖音数据分析ppt\歌词\情人知己.txt,negative,0.0881,0.9119,80,26,8
324,NJU Documents\抖音数据分析ppt\歌词\情歌虽老却动听.txt,positive,0.9841,0.0159,53,26,24
325,NJU Documents\抖音数据分析ppt\歌词\情深深雨濛濛.txt,negative,0.4787,0.5213,42,42,14
326,NJU Documents\抖音数据分析ppt\歌词\情花几时开 (DJheap九天版).txt,negative,0.4046,0.5954,71,52,0
327,NJU Documents\抖音数据分析ppt\歌词\情花几时开.txt,negative,0.3202,0.6798,69,47,0
328,NJU Documents\抖音数据分析ppt\歌词\情难渡.txt,negative,0.3937,0.6063,58,32,13
329,NJU Documents\抖音数据分析ppt\歌词\惊雷.txt,positive,0.8623,0.1377,80,79,19
330,NJU Documents\抖音数据分析ppt\歌词\想你的人没有睡.txt,positive,0.9872,0.0128,32,26,10
331,NJU Documents\抖音数据分析ppt\歌词\想让全世界知道我爱你 (mix).txt,positive,0.6972,0.3028,90,26,6
332,NJU Documents\抖音数据分析ppt\歌词\想让全世界知道我爱你.txt,positive,0.7805,0.2195,67,18,4
333,NJU Documents\抖音数据分析ppt\歌词\感官先生 (片段).txt,negative,0.0147,0.9853,79,35,21
334,NJU Documents\抖音数据分析ppt\歌词\感官先生.txt,negative,0.0147,0.9853,79,35,21
335,NJU Documents\抖音数据分析ppt\歌词\感谢.txt,positive,0.9979,0.0021,67,46,17
336,NJU Documents\抖音数据分析ppt\歌词\感谢缘分让我们相遇.txt,positive,0.9893,0.0107,27,12,16
337,NJU Documents\抖音数据分析ppt\歌词\愿得一人心 (钢琴版).txt,positive,0.9932,0.0067,4,2,1
338,NJU Documents\抖音数据分析ppt\歌词\愿得一人心.txt,positive,0.9585,0.0415,77,64,22
339,NJU Documents\抖音数据分析ppt\歌词\成都.txt,positive,0.9812,0.0188,73,30,12
340,NJU Documents\抖音数据分析ppt\歌词\我从草原来 (Live片段).txt,positive,0.9883,0.0117,75,61,14
341,NJU Documents\抖音数据分析ppt\歌词\我原以为 (片段).txt,positive,0.9339,0.0661,26,9,6
342,NJU Documents\抖音数据分析ppt\歌词\我和你.txt,positive,0.9415,0.0585,49,39,7
343,NJU Documents\抖音数据分析ppt\歌词\我在你眼里到底算什么 (Live片段).txt,negative,0.0354,0.9646,52,34,10
344,NJU Documents\抖音数据分析ppt\歌词\我多想回到那个夏天.txt,positive,0.9932,0.0067,4,2,1
345,NJU Documents\抖音数据分析ppt\歌词\我应该去爱你 (DJ版).txt,positive,0.9932,0.0067,4,2,1
346,NJU Documents\抖音数据分析ppt\歌词\我应该去爱你.txt,positive,0.9888,0.0112,93,27,10
347,NJU Documents\抖音数据分析ppt\歌词\我怎么这么好看.txt,positive,0.7855,0.2145,70,19,20
348,NJU Documents\抖音数据分析ppt\歌词\我想更懂你.txt,positive,0.8617,0.1383,166,39,9
349,NJU Documents\抖音数据分析ppt\歌词\我是云南小姑娘.txt,positive,0.9976,0.0024,87,30,4
350,NJU Documents\抖音数据分析ppt\歌词\我爱他.txt,positive,0.9855,0.0145,70,22,20
351,NJU Documents\抖音数据分析ppt\歌词\我爱你不问归期 (片段).txt,positive,0.815,0.185,86,38,4
352,NJU Documents\抖音数据分析ppt\歌词\我爱你不问归期.txt,positive,0.815,0.185,86,38,4
353,NJU Documents\抖音数据分析ppt\歌词\我的天空 (加长版).txt,positive,0.9944,0.0056,92,49,13
354,NJU Documents\抖音数据分析ppt\歌词\我的天空.txt,positive,0.9944,0.0056,92,49,13
355,NJU Documents\抖音数据分析ppt\歌词\我的快乐就是想你.txt,positive,0.9966,0.0034,78,28,16
356,NJU Documents\抖音数据分析ppt\歌词\战斗.txt,positive,0.9886,0.0114,42,30,14
357,NJU Documents\抖音数据分析ppt\歌词\所有精神小伙听令.txt,negative,0.0619,0.9381,16,17,4
358,NJU Documents\抖音数据分析ppt\歌词\抖音最火换装卡点 (抖音完整原版).txt,positive,0.9932,0.0067,4,2,1
359,NJU Documents\抖音数据分析ppt\歌词\抖音最火换装卡点.txt,positive,0.9932,0.0067,4,2,1
360,NJU Documents\抖音数据分析ppt\歌词\拜拜.txt,negative,0.0658,0.9342,111,36,4
361,NJU Documents\抖音数据分析ppt\歌词\捉泥鳅 (Live).txt,positive,0.9717,0.0283,41,44,37
362,NJU Documents\抖音数据分析ppt\歌词\放手一搏 (DJ版).txt,positive,0.9719,0.0281,69,87,22
363,NJU Documents\抖音数据分析ppt\歌词\新壶中天.txt,positive,0.9784,0.0216,37,49,7
364,NJU Documents\抖音数据分析ppt\歌词\新欢渡旧爱 (DJ69、DJ肖涵、DJ沈子凡、DJ虞姬版).txt,negative,0.2214,0.7786,79,13,36
365,NJU Documents\抖音数据分析ppt\歌词\新疆味道.txt,positive,0.7966,0.2034,79,49,12
366,NJU Documents\抖音数据分析ppt\歌词\无人之岛.txt,positive,0.9481,0.0519,94,62,13
367,NJU Documents\抖音数据分析ppt\歌词\无情的谎言.txt,negative,0.0417,0.9583,38,6,12
368,NJU Documents\抖音数据分析ppt\歌词\无言的结局.txt,negative,0.1639,0.8361,86,12,0
369,NJU Documents\抖音数据分析ppt\歌词\旧梦一场 (DJ版).txt,positive,0.7534,0.2466,31,26,18
370,NJU Documents\抖音数据分析ppt\歌词\旧梦一场.txt,positive,0.5527,0.4473,28,21,16
371,NJU Documents\抖音数据分析ppt\歌词\星光背后 (片段).txt,negative,0.0413,0.9587,52,24,17
372,NJU Documents\抖音数据分析ppt\歌词\星光背后.txt,negative,0.0413,0.9587,52,24,17
373,NJU Documents\抖音数据分析ppt\歌词\星月糖 (片段).txt,positive,0.9321,0.0679,44,35,9
374,NJU Documents\抖音数据分析ppt\歌词\星月糖.txt,positive,0.9321,0.0679,44,35,9
375,NJU Documents\抖音数据分析ppt\歌词\晚安 (DJ浪子康、DJ豪大大版).txt,positive,0.8287,0.1712,3,2,0
376,NJU Documents\抖音数据分析ppt\歌词\晚安.txt,positive,0.5958,0.4042,82,30,15
377,NJU Documents\抖音数据分析ppt\歌词\暗里着迷.txt,positive,0.6249,0.3751,73,36,10
378,NJU Documents\抖音数据分析ppt\歌词\最后最后还是放开了手 (完整原版).txt,negative,0.0157,0.9843,30,14,10
379,NJU Documents\抖音数据分析ppt\歌词\最快换装舞 (DJ版).txt,positive,0.9932,0.0067,4,2,1
380,NJU Documents\抖音数据分析ppt\歌词\最快换装舞.txt,positive,0.9932,0.0067,4,2,1
381,NJU Documents\抖音数据分析ppt\歌词\最最.txt,positive,0.9848,0.0152,60,22,11
382,NJU Documents\抖音数据分析ppt\歌词\最炫旗袍秀.txt,positive,0.9867,0.0133,66,28,29
383,NJU Documents\抖音数据分析ppt\歌词\最美的伤口.txt,positive,0.945,0.055,63,40,14
384,NJU Documents\抖音数据分析ppt\歌词\月牙湾.txt,positive,0.992,0.008,56,33,8
385,NJU Documents\抖音数据分析ppt\歌词\有什么可惜（烟嗓版）.txt,negative,0.254,0.746,108,40,9
386,NJU Documents\抖音数据分析ppt\歌词\有何不可.txt,positive,0.7335,0.2665,93,45,18
387,NJU Documents\抖音数据分析ppt\歌词\有你的快乐 (片段).txt,negative,0.4162,0.5838,62,20,14
388,NJU Documents\抖音数据分析ppt\歌词\有多少 (DJ版).txt,positive,0.7202,0.2798,89,30,3
389,NJU Documents\抖音数据分析ppt\歌词\有点甜.txt,positive,0.9913,0.0087,92,49,11
390,NJU Documents\抖音数据分析ppt\歌词\未来式情歌 (片段).txt,positive,0.9849,0.0151,69,29,8
391,NJU Documents\抖音数据分析ppt\歌词\来吧展示.txt,negative,0.0564,0.9436,29,19,0
392,NJU Documents\抖音数据分析ppt\歌词\来给生活比个耶 (全网热播版).txt,positive,0.8287,0.1712,3,2,0
393,NJU Documents\抖音数据分析ppt\歌词\来给生活比个耶.txt,negative,0.017,0.983,48,12,17
394,NJU Documents\抖音数据分析ppt\歌词\杨花落尽子规啼.txt,positive,0.7392,0.2608,33,26,2
395,NJU Documents\抖音数据分析ppt\歌词\极限上头Wake up.txt,positive,0.9932,0.0067,4,2,1
396,NJU Documents\抖音数据分析ppt\歌词\枉凝眉.txt,positive,0.9167,0.0833,13,4,2
397,NJU Documents\抖音数据分析ppt\歌词\某人.txt,negative,0.3278,0.6722,63,28,8
398,NJU Documents\抖音数据分析ppt\歌词\柴 鱼 の c a l l i n g.txt,positive,0.58,0.42,4,2,2
399,NJU Documents\抖音数据分析ppt\歌词\根本你不懂得爱我.txt,negative,0.0094,0.9906,114,15,25
400,NJU Documents\抖音数据分析ppt\歌词\桃花朵朵开.txt,positive,0.9878,0.0122,57,28,4
401,NJU Documents\抖音数据分析ppt\歌词\桃花笑.txt,positive,0.9703,0.0297,65,27,11
402,NJU Documents\抖音数据分析ppt\歌词\梁祝 (钢琴演奏版Live).txt,positive,0.9932,0.0067,4,2,1
403,NJU Documents\抖音数据分析ppt\歌词\梅花泪 (并四版).txt,negative,0.0685,0.9315,30,24,7
404,NJU Documents\抖音数据分析ppt\歌词\梦中有你.txt,positive,0.9907,0.0093,51,25,2
405,NJU Documents\抖音数据分析ppt\歌词\欢喜就好 (DJ在忠、DJ河源小天版).txt,positive,0.8287,0.1712,3,2,0
406,NJU Documents\抖音数据分析ppt\歌词\欢喜就好.txt,positive,0.7261,0.2739,68,29,32
407,NJU Documents\抖音数据分析ppt\歌词\此情一直在心间.txt,positive,0.9861,0.0139,42,26,11
408,NJU Documents\抖音数据分析ppt\歌词\毛不易《像我这样的人》就不用借酒《消愁》啦《二零三》.txt,positive,0.8708,0.1292,41,17,9
409,NJU Documents\抖音数据分析ppt\歌词\水墨丹青.txt,positive,0.9634,0.0366,70,87,22
410,NJU Documents\抖音数据分析ppt\歌词\沉默是金 (合唱版本).txt,negative,0.0529,0.9471,64,18,17
411,NJU Documents\抖音数据分析ppt\歌词\没攒一分钱 (DJ版片段).txt,negative,0.4771,0.5229,21,26,3
412,NJU Documents\抖音数据分析ppt\歌词\没有你陪伴真的好孤单.txt,positive,0.8316,0.1684,62,22,37
413,NJU Documents\抖音数据分析ppt\歌词\没有喝够.txt,positive,0.9348,0.0652,39,32,4
414,NJU Documents\抖音数据分析ppt\歌词\泡沫.txt,negative,0.0972,0.9028,47,29,23
415,NJU Documents\抖音数据分析ppt\歌词\洪荒之力 (改版).txt,positive,0.9932,0.0067,4,2,1
416,NJU Documents\抖音数据分析ppt\歌词\洪荒之力.txt,positive,0.9932,0.0067,4,2,1
417,NJU Documents\抖音数据分析ppt\歌词\浪子回头.txt,positive,0.5703,0.4297,32,32,10
418,NJU Documents\抖音数据分析ppt\歌词\海阔天空 (Remix).txt,positive,0.9874,0.0126,67,23,3
419,NJU Documents\抖音数据分析ppt\歌词\海阔天空.txt,positive,0.9874,0.0126,67,23,3
420,NJU Documents\抖音数据分析ppt\歌词\深深深深 (Remix).txt,positive,0.9932,0.0067,4,2,1
421,NJU Documents\抖音数据分析ppt\歌词\渡情 (加快版DJ).txt,positive,0.9897,0.0103,37,15,4
422,NJU Documents\抖音数据分析ppt\歌词\漂洋过海来看你 (DJ版).txt,positive,0.9414,0.0586,66,22,8
423,NJU Documents\抖音数据分析ppt\歌词\漂洋过海来看你 (Remix).txt,positive,0.9383,0.0617,59,25,6
424,NJU Documents\抖音数据分析ppt\歌词\漂洋过海来看你.txt,positive,0.9627,0.0373,86,27,10
425,NJU Documents\抖音数据分析ppt\歌词\漫步人生路.txt,positive,0.9889,0.0111,48,20,14
426,NJU Documents\抖音数据分析ppt\歌词\潇湘子.txt,positive,0.9932,0.0067,4,2,1
427,NJU Documents\抖音数据分析ppt\歌词\火影卡点.txt,positive,0.9932,0.0067,4,2,1
428,NJU Documents\抖音数据分析ppt\歌词\火红的萨日朗.txt,positive,0.9948,0.0052,59,53,50
429,NJU Documents\抖音数据分析ppt\歌词\灰姑娘.txt,negative,0.3913,0.6087,35,13,11
430,NJU Documents\抖音数据分析ppt\歌词\点歌的人 (片段).txt,positive,0.9266,0.0734,38,20,6
431,NJU Documents\抖音数据分析ppt\歌词\点歌的人.txt,positive,0.9376,0.0624,36,18,4
432,NJU Documents\抖音数据分析ppt\歌词\烟雨江南.txt,positive,0.9874,0.0126,22,22,10
433,NJU Documents\抖音数据分析ppt\歌词\烟雨蒙蒙.txt,positive,0.9239,0.0761,18,18,6
434,NJU Documents\抖音数据分析ppt\歌词\热火斯卡拉.txt,positive,0.8287,0.1712,3,2,0
435,NJU Documents\抖音数据分析ppt\歌词\爱上一朵花.txt,positive,0.9732,0.0268,83,51,15
436,NJU Documents\抖音数据分析ppt\歌词\爱丫爱丫 (慢摇版).txt,negative,0.3653,0.6347,67,17,11
437,NJU Documents\抖音数据分析ppt\歌词\爱久了才会懂.txt,positive,0.9962,0.0038,87,26,12
438,NJU Documents\抖音数据分析ppt\歌词\爱出发.txt,positive,0.8802,0.1198,94,48,12
439,NJU Documents\抖音数据分析ppt\歌词\爱情主演 (DJ何鹏版).txt,positive,0.9585,0.0415,88,60,1
440,NJU Documents\抖音数据分析ppt\歌词\爱情啊.txt,positive,0.9685,0.0315,48,27,3
441,NJU Documents\抖音数据分析ppt\歌词\爱情的故事.txt,positive,0.8887,0.1113,41,25,9
442,NJU Documents\抖音数据分析ppt\歌词\爱情里没有谁对谁错.txt,negative,0.0913,0.9087,86,14,5
443,NJU Documents\抖音数据分析ppt\歌词\爱情错觉 (片段).txt,positive,0.9876,0.0124,53,29,11
444,NJU Documents\抖音数据分析ppt\歌词\爱情错觉.txt,positive,0.9827,0.0173,82,32,14
445,NJU Documents\抖音数据分析ppt\歌词\爱拼才会赢.txt,negative,0.4516,0.5484,67,19,0
446,NJU Documents\抖音数据分析ppt\歌词\爱江山更爱美人.txt,negative,0.4965,0.5035,47,36,12
447,NJU Documents\抖音数据分析ppt\歌词\爱的可能 (片段).txt,positive,0.9962,0.0038,19,10,0
448,NJU Documents\抖音数据分析ppt\歌词\爱的可能.txt,positive,0.9959,0.0041,81,37,4
449,NJU Documents\抖音数据分析ppt\歌词\爱的太深也是祸.txt,positive,0.6441,0.3559,80,28,11
450,NJU Documents\抖音数据分析ppt\歌词\爱的魔法.txt,negative,0.3752,0.6248,107,29,16
451,NJU Documents\抖音数据分析ppt\歌词\父亲写的散文诗 (时光版).txt,positive,0.9868,0.0132,53,46,10
452,NJU Documents\抖音数据分析ppt\歌词\犯错.txt,negative,0.0036,0.9964,80,18,10
453,NJU Documents\抖音数据分析ppt\歌词\玛卡巴卡.txt,positive,0.5794,0.4206,6,11,0
454,NJU Documents\抖音数据分析ppt\歌词\田子坊.txt,positive,0.9948,0.0052,72,55,10
455,NJU Documents\抖音数据分析ppt\歌词\男人女人都不醉 (DJ版).txt,positive,0.7397,0.2603,88,94,2
456,NJU Documents\抖音数据分析ppt\歌词\男人绝不认输 (DJ版).txt,negative,0.0319,0.9681,68,49,8
457,NJU Documents\抖音数据分析ppt\歌词\男人花 (片段).txt,positive,0.5992,0.4008,87,44,13
458,NJU Documents\抖音数据分析ppt\歌词\画皮.txt,positive,0.953,0.047,96,57,13
459,NJU Documents\抖音数据分析ppt\歌词\疯狂爱爱爱.txt,positive,0.6041,0.3959,123,32,7
460,NJU Documents\抖音数据分析ppt\歌词\痴痴地等.txt,negative,0.439,0.561,55,13,20
461,NJU Documents\抖音数据分析ppt\歌词\白天的月亮 (广场舞).txt,positive,0.9968,0.0032,72,34,12
462,NJU Documents\抖音数据分析ppt\歌词\白狐.txt,positive,0.991,0.009,64,12,10
463,NJU Documents\抖音数据分析ppt\歌词\百战成诗 (3燃情版) (含音效).txt,positive,0.9654,0.0346,168,115,34
464,NJU Documents\抖音数据分析ppt\歌词\百花香 (DJ Candy版).txt,positive,0.8074,0.1925,0,1,0
465,NJU Documents\抖音数据分析ppt\歌词\百花香 (DJ版).txt,positive,0.9926,0.0074,50,43,6
466,NJU Documents\抖音数据分析ppt\歌词\百花香.txt,positive,0.9882,0.0118,49,41,6
467,NJU Documents\抖音数据分析ppt\歌词\盗墓笔记·十年人间.txt,positive,0.9739,0.0261,59,38,30
468,NJU Documents\抖音数据分析ppt\歌词\盘他.txt,negative,0.0488,0.9512,66,39,9
469,NJU Documents\抖音数据分析ppt\歌词\相依为命.txt,negative,0.0143,0.9857,76,20,7
470,NJU Documents\抖音数据分析ppt\歌词\相思.txt,positive,0.9968,0.0032,43,28,10
471,NJU Documents\抖音数据分析ppt\歌词\真的不容易 (广场舞).txt,positive,0.9767,0.0233,60,20,14
472,NJU Documents\抖音数据分析ppt\歌词\真的不容易.txt,positive,0.9767,0.0233,60,20,14
473,NJU Documents\抖音数据分析ppt\歌词\瞬间的永恒 (钢琴曲).txt,positive,0.9932,0.0067,4,2,1
474,NJU Documents\抖音数据分析ppt\歌词\知否知否.txt,negative,0.2102,0.7898,80,40,29
475,NJU Documents\抖音数据分析ppt\歌词\知道不知道.txt,positive,0.9052,0.0948,41,19,3
476,NJU Documents\抖音数据分析ppt\歌词\社会人专用DJ.txt,positive,0.6020,0.3979,0,1,0
477,NJU Documents\抖音数据分析ppt\歌词\稻香.txt,positive,0.8485,0.1515,82,34,18
478,NJU Documents\抖音数据分析ppt\歌词\空空如也.txt,positive,0.8846,0.1154,93,32,11
479,NJU Documents\抖音数据分析ppt\歌词\童话.txt,positive,0.7178,0.2822,76,41,2
480,NJU Documents\抖音数据分析ppt\歌词\笑看风云 (片段).txt,positive,0.8337,0.1663,62,17,5
481,NJU Documents\抖音数据分析ppt\歌词\第131集 咖喱咖喱 一首快乐的小童谣.txt,negative,0.3182,0.6818,45,31,12
482,NJU Documents\抖音数据分析ppt\歌词\第一次 (Live).txt,negative,0.2968,0.7032,36,11,5
483,NJU Documents\抖音数据分析ppt\歌词\等风来 (Live).txt,positive,0.9466,0.0534,42,21,0
484,NJU Documents\抖音数据分析ppt\歌词\等风来.txt,positive,0.9466,0.0534,42,21,0
485,NJU Documents\抖音数据分析ppt\歌词\粉红情歌.txt,positive,0.6973,0.3027,89,22,18
486,NJU Documents\抖音数据分析ppt\歌词\素颜.txt,positive,0.8846,0.1154,93,32,11
487,NJU Documents\抖音数据分析ppt\歌词\紫霞仙子.txt,positive,0.9932,0.0067,4,2,1
488,NJU Documents\抖音数据分析ppt\歌词\緊張.txt,positive,0.9891,0.0109,66,23,21
489,NJU Documents\抖音数据分析ppt\歌词\美丽的神话.txt,positive,0.9923,0.0077,60,34,13
490,NJU Documents\抖音数据分析ppt\歌词\胖子多棒 (女声版片段).txt,positive,0.944,0.056,12,6,6
491,NJU Documents\抖音数据分析ppt\歌词\能被抢走的都是垃圾.txt,positive,0.9932,0.0067,4,2,1
492,NJU Documents\抖音数据分析ppt\歌词\船歌.txt,positive,0.5915,0.4085,38,40,4
493,NJU Documents\抖音数据分析ppt\歌词\花桥流水.txt,positive,0.951,0.049,59,49,9
494,NJU Documents\抖音数据分析ppt\歌词\花海 (翻唱).txt,negative,0.2757,0.7243,19,7,0
495,NJU Documents\抖音数据分析ppt\歌词\花灯游.txt,positive,0.857,0.143,34,28,11
496,NJU Documents\抖音数据分析ppt\歌词\花都开了你来不来.txt,positive,0.9686,0.0314,56,21,8
497,NJU Documents\抖音数据分析ppt\歌词\花雨落.txt,negative,0.4274,0.5726,48,41,14
498,NJU Documents\抖音数据分析ppt\歌词\莫西莫西.txt,positive,0.9932,0.0067,4,2,1
499,NJU Documents\抖音数据分析ppt\歌词\萨斯给.txt,positive,0.8666,0.1334,62,29,2
500,NJU Documents\抖音数据分析ppt\歌词\蓝色海黑色河 (DJ版).txt,positive,0.6447,0.3553,50,30,2
501,NJU Documents\抖音数据分析ppt\歌词\蓝色海黑色河+灰色轨迹.txt,positive,0.9932,0.0067,4,2,1
502,NJU Documents\抖音数据分析ppt\歌词\蓝色海黑色河.txt,negative,0.2474,0.7526,48,46,2
503,NJU Documents\抖音数据分析ppt\歌词\蔬菜沙拉.txt,positive,0.9897,0.0103,23,26,23
504,NJU Documents\抖音数据分析ppt\歌词\蜗牛与黄鹂鸟 (DJ版片段).txt,positive,0.9139,0.0861,21,12,8
505,NJU Documents\抖音数据分析ppt\歌词\蜗牛与黄鹂鸟.txt,positive,0.9637,0.0363,30,15,10
506,NJU Documents\抖音数据分析ppt\歌词\被风吹过的夏天.txt,negative,0.091,0.909,69,48,16
